"AskingPrice","PriceSold","SaleDate","id","YearBuilt","Area","NumberBathrooms","NumberBedrooms","NumberLevels","LivingArea","MunicipalAssessment","FloorNumber","Parking"
"$629,000"," $600,000","Sold in 9 months 1 day  on 2012-03-03","/condo-for-sale-montreal-sud-ouest-quebec-en-260048","2004",,"1","2","7","1,285 ft� (119.38 m�)",,"3","1"
"$240,000"," $230,000","Sold in 5 months 23 Days  on 2011-11-30","/condo-for-sale-montreal-sud-ouest-quebec-en-260483",,"96x42 ft (29.26x12.80 m)","1","2","4","700 ft� (65.03 m�)",,"1",
"$232,500"," $225,000","Sold in 63 Days  on 2011-08-17","/condo-for-sale-montreal-sud-ouest-quebec-en-260808","2009","58.25 m� (627.00 ft�)","1","2","1","737 ft� (68.47 m�)",,"2","1"
"$279,000"," $270,000","Sold in 4 Days  on 2011-06-12","/condo-for-sale-montreal-sud-ouest-quebec-en-261675",,,"1","1",,"800 ft� (74.32 m�)",,"3",
"$210,000"," $195,000","Sold in 3 months 25 Days  on 2011-10-05","/condo-for-sale-montreal-sud-ouest-quebec-en-261822","1999",,"1","2","3","910 ft� (84.54 m�)","$161,000","1","1"
"$239,900"," $236,500","Sold in 6 Days  on 2011-06-15","/condo-for-sale-montreal-sud-ouest-quebec-en-262140","2008",,"1","2","1","928 ft� (86.21 m�)",,"2","1"
"$254,900\n                    \n                            \n        \n            \n                \n                    Ville-Marie (downtown, old Mtl) - $254,900\n                                                                        - With parking\n                                                            \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 207-1210, rue St-Antoine est                                            \n                \n            \n\n                    Magnificent Condo for sale built in 2010, modern style with lots of extras and decorated in the style of the day and well fenestrated!In open... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  551 ft�, Garage, No backyard neighbours, Private parking"," $262,000","Sold in 29 Days  on 2011-07-11","/condo-for-sale-montreal-sud-ouest-quebec-en-262655",,,,,,,,,
"","","Sold in 6 months 29 Days  on 2012-01-16","/condo-for-sale-montreal-sud-ouest-quebec-en-263523","2011",,"1","1","3","1,148 ft� (106.65 m�)",,"3",
"$399,000"," $381,500","Sold in 9 months 9 Days  on 2012-04-13","/condo-for-sale-montreal-sud-ouest-quebec-en-266091","1933",,"1","2","2","103 m� (1,108.68 ft�)",,"1","1"
"$268,000"," $260,000","Sold in 55 Days  on 2011-09-02","/condo-for-sale-montreal-sud-ouest-quebec-en-266444","1986",,"1","2","3","1,033 ft� (95.97 m�)",,"1","1"
"$209,750"," $205,000","Sold in 8 Days  on 2011-07-07","/condo-for-sale-montreal-sud-ouest-quebec-en-266867","2007",,"1","2","1","885 ft� (82.22 m�)","$161,800","1",
"","","Sold in 28 Days  on 2011-08-09","/condo-for-sale-montreal-sud-ouest-quebec-en-268773","1984","79 m� (850.35 ft�)","1","2","1","950 ft� (88.26 m�)",,"3","1"
"$250,000"," $240,000","Sold in 29 Days  on 2011-08-17","/condo-for-sale-montreal-sud-ouest-quebec-en-269268","1986","63.11 m� (679.31 ft�)","1","2","1","845 ft� (78.50 m�)","$172,900","3","1"
"$319,000"," $308,000","Sold in 67 Days  on 2012-09-15","/condo-for-sale-montreal-sud-ouest-quebec-en-271237","2010",,"1","1","3","825 ft� (76.65 m�)",,"3",
"$253,000"," $246,000","Sold in 10 months 2 Days  on 2012-05-25","/condo-for-sale-montreal-sud-ouest-quebec-en-271488","2008",,"1","2","3","928 ft� (86.21 m�)",,"3","1"
"","","Sold in 27 Days  on 2011-09-22","/condo-for-sale-montreal-sud-ouest-quebec-en-272589","2010",,"1","1","3","760 ft� (70.61 m�)",,"3",
"$210,000"," $210,000","Sold in 42 Days  on 2011-09-30","/condo-for-sale-montreal-sud-ouest-quebec-en-275806","2009",,"1","2","3","850 ft� (78.97 m�)",,,
"$295,000\n                    \n                            \n        \n            \n                \n                    South-West Montreal - $295,000\n                                    \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 221-4300, rue Saint-Ambroise                                            \n                \n            \n\n                    Open concept loft in trendy recent project boardering the Lachine Canal with docking facilities, swimming pool, sauna, gym, kayaks. Very close to the Atwater Market.... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  800 ft�, Pool, Panoramic view"," $232,800","Sold in 4 months 7 Days  on 2011-12-28","/condo-for-sale-montreal-sud-ouest-quebec-en-277333",,,,,,,,,
"$455,000"," $440,000","Sold in 18 Days  on 2011-10-21","/condo-for-sale-montreal-sud-ouest-quebec-en-277810","2008","29x38 ft (8.84x11.58 m)","2","2","2","1,518 ft� (141.03 m�)","$307,100","2","1"
"$529,900"," $495,000","Sold in 10 Days  on 2011-09-18","/condo-for-sale-montreal-sud-ouest-quebec-en-280628","1988","120 m� (1,291.67 ft�)","1","2","2","1,814 ft� (168.53 m�)","$355,467",,
"","","Sold in 4 months 20 Days  on 2012-01-30","/condo-for-sale-montreal-sud-ouest-quebec-en-280642","2011","10x30 ft (3.05x9.14 m)","1","2","3","982 ft� (91.23 m�)",,"1",
"$318,000"," $310,000","Sold in 3 months 16 Days  on 2012-01-03","/condo-for-sale-montreal-sud-ouest-quebec-en-280989","2007","29.29 m� (315.27 ft�)","1","2","1","914 ft� (84.91 m�)","$280,500","1","1"
"$239,999"," $239,999","Sold in 6 months 6 Days  on 2012-03-20","/condo-for-sale-montreal-sud-ouest-quebec-en-281870","2010",,"1","2","3","938 ft� (87.14 m�)","$235,000","1",
"$299,000"," $285,000","Sold in 3 months 22 Days  on 2012-01-18","/condo-for-sale-montreal-sud-ouest-quebec-en-282083","1988",,"1","2","3","989 ft� (91.88 m�)",,"2",
"","","Sold in 31 Days  on 2011-11-03","/condo-for-sale-montreal-sud-ouest-quebec-en-286363","1987",,"1","3","2","1,100.00 m� (11,840.30 ft�)",,"1","1"
"$249,000"," $242,500","Sold in 14 Days  on 2011-10-22","/condo-for-sale-montreal-sud-ouest-quebec-en-287629","2008",,"1","2","3","835 ft� (77.57 m�)","$217,200","2",
"$260,000"," $256,000","Sold in 6 months 15 Days  on 2012-04-26","/condo-for-sale-montreal-sud-ouest-quebec-en-288295","2003",,"1","2","3","758 ft� (70.42 m�)","$240,800","3",
"$298,000"," $298,000","Sold in 6 months 26 Days  on 2012-05-15","/condo-for-sale-montreal-sud-ouest-quebec-en-288854","2010",,"1","2","3","938 ft� (87.14 m�)","$232,400","3","1"
"$214,000"," $211,000","Sold in 5 months 6 Days  on 2012-03-30","/condo-for-sale-montreal-sud-ouest-quebec-en-290439","2011",,"1","1",,"645 ft� (59.92 m�)",,,"80"
"$259,000"," $245,000","Sold in 4 months 2 Days  on 2012-03-01","/condo-for-sale-montreal-sud-ouest-quebec-en-292407","1984",,"1","2","3","76.08 m� (818.92 ft�)",,"1","2"
"$246,000"," $240,000","Sold in 3 months 10 Days  on 2012-02-16","/condo-for-sale-montreal-sud-ouest-quebec-en-292506","2007",,"1","1","4","670 ft� (62.25 m�)","$157,500","2",
"$245,000"," $228,500","Sold in 6 months 28 Days  on 2012-06-01","/condo-for-sale-montreal-sud-ouest-quebec-en-292521","2008","25x75 ft (7.62x22.86 m)","1","2","2","1,093 ft� (101.54 m�)","$147,000","2",
"$244,000"," $232,500","Sold in 8 months 3 Days  on 2012-08-03","/condo-for-sale-montreal-sud-ouest-quebec-en-295052","2009",,"1","2","1","790 ft� (73.39 m�)",,"2","1"
"$254,900\n                    \n                            \n        \n            \n                \n                    Ville-Marie (downtown, old Mtl) - $254,900\n                                                                        - With parking\n                                                            \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 207-1210, rue St-Antoine est                                            \n                \n            \n\n                    Magnificent Condo for sale built in 2010, modern style with lots of extras and decorated in the style of the day and well fenestrated!In open... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  551 ft�, Garage, No backyard neighbours, Private parking"," $208,500","Sold in 18 Days  on 2011-12-07","/condo-for-sale-montreal-sud-ouest-quebec-en-295700",,,,,,,,,
"$189,000"," $180,000","Sold in 17 Days  on 2012-01-04","/condo-for-sale-montreal-sud-ouest-quebec-en-296960","2009","22 ft� (2.04 m�)","1","1","3","600 ft� (55.74 m�)",,"2",
"","","Sold in 18 Days  on 2011-12-19","/condo-for-sale-montreal-sud-ouest-quebec-en-298330","2010",,"1","2","3","790 ft� (73.39 m�)",,"2","1"
"$268,500"," $253,000","Sold in 54 Days  on 2012-01-30","/condo-for-sale-montreal-sud-ouest-quebec-en-299325","2004",,"1","1","4","800 ft� (74.32 m�)",,"3",
"$374,000"," $363,000","Sold in 28 Days  on 2012-01-05","/condo-for-sale-montreal-sud-ouest-quebec-en-299604","1987",,"1","2","3","1,100 ft� (102.19 m�)","$265,600","2","1"
"$229,000"," $223,000","Sold in 3 months 18 Days  on 2012-04-12","/condo-for-sale-montreal-sud-ouest-quebec-en-300723","2009",,"1","2","3","849 ft� (78.87 m�)",,"1","1"
"$228,000"," $216,000","Sold in 25 Days  on 2012-01-22","/condo-for-sale-montreal-sud-ouest-quebec-en-301457","2008",,"1","2","3","76.80 m� (826.67 ft�)","$199,400","1",
"","","Sold in 43 Days  on 2012-03-09","/condo-for-sale-montreal-sud-ouest-quebec-en-302029","2008",,"1","2","3","927 ft� (86.12 m�)",,"1","1"
"","","Sold in 25 Days  on 2012-02-01","/condo-for-sale-montreal-sud-ouest-quebec-en-302097","1925",,"1","1","2","750 ft� (69.68 m�)",,"2","1"
"","","Sold in 18 Days  on 2012-01-29","/condo-for-sale-montreal-sud-ouest-quebec-en-302301","2004",,"1","1","6","1,128 ft� (104.79 m�)",,"6","1"
"$224,900"," $215,000","Sold in 10 Days  on 2012-02-09","/condo-for-sale-montreal-sud-ouest-quebec-en-304178","2010",,"1","1","3","743 ft� (69.03 m�)",,"1",
"","","Sold in 35 Days  on 2012-02-25","/condo-for-sale-montreal-sud-ouest-quebec-en-304685","2004",,"1","1","4","731 ft� (67.91 m�)",,"2","1"
"$284,500"," $284,500","Sold in 1 day  on 2012-01-28","/condo-for-sale-montreal-sud-ouest-quebec-en-306240","2011",,"1","2","3","900 ft� (83.61 m�)","$203,800","3",
"$295,000\n                    \n                            \n        \n            \n                \n                    South-West Montreal - $295,000\n                                    \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 221-4300, rue Saint-Ambroise                                            \n                \n            \n\n                    Open concept loft in trendy recent project boardering the Lachine Canal with docking facilities, swimming pool, sauna, gym, kayaks. Very close to the Atwater Market.... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  800 ft�, Pool, Panoramic view"," $260,000","Sold in 80 Days  on 2012-04-20","/condo-for-sale-montreal-sud-ouest-quebec-en-307035",,,,,,,,,
"","","Sold in 6 Days  on 2012-02-21","/condo-for-sale-montreal-sud-ouest-quebec-en-309493","1999",,"1","2","3","935 ft� (86.86 m�)",,"1","1"
"$254,900\n                    \n                            \n        \n            \n                \n                    Ville-Marie (downtown, old Mtl) - $254,900\n                                                                        - With parking\n                                                            \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 207-1210, rue St-Antoine est                                            \n                \n            \n\n                    Magnificent Condo for sale built in 2010, modern style with lots of extras and decorated in the style of the day and well fenestrated!In open... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  551 ft�, Garage, No backyard neighbours, Private parking"," $230,000","Sold in 21 Days  on 2012-03-11","/condo-for-sale-montreal-sud-ouest-quebec-en-309521",,,,,,,,,
"$247,500"," $208,100","Sold in 51 Days  on 2012-04-16","/condo-for-sale-montreal-sud-ouest-quebec-en-311109","2011",,"1","1","8","755 ft� (70.14 m�)","$148,300","7","1"
"$274,500"," $267,000","Sold in 67 Days  on 2012-05-01","/condo-for-sale-montreal-sud-ouest-quebec-en-311451",,"30x10 ft (9.14x3.05 m)","1","2","3","837.43 ft� (77.80 m�)",,"2",
"","","Sold in 4 Days  on 2012-03-04","/condo-for-sale-montreal-sud-ouest-quebec-en-313392","2009",,"1","1","4","515 ft� (47.85 m�)",,"1",
"$219,500"," $210,000","Sold in 7 Days  on 2012-03-11","/condo-for-sale-montreal-sud-ouest-quebec-en-313430","2008",,"1","2","3","74.1 m� (797.61 ft�)","$184,200",,"1"
"$295,000\n                    \n                            \n        \n            \n                \n                    South-West Montreal - $295,000\n                                    \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 221-4300, rue Saint-Ambroise                                            \n                \n            \n\n                    Open concept loft in trendy recent project boardering the Lachine Canal with docking facilities, swimming pool, sauna, gym, kayaks. Very close to the Atwater Market.... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  800 ft�, Pool, Panoramic view"," $202,000","Sold in 72 Days  on 2012-05-12","/condo-for-sale-montreal-sud-ouest-quebec-en-313458",,,,,,,,,
"$197,000"," $195,000","Sold in 33 Days  on 2012-04-01","/condo-for-sale-montreal-sud-ouest-quebec-en-313507","2008",,"1","1","4","610 ft� (56.67 m�)","$100,700","2",
"$239,000"," $269,000","Sold in 4 months 10 Days  on 2012-07-09","/condo-for-sale-montreal-sud-ouest-quebec-en-313773","2011",,"1","2","2","875 ft� (81.29 m�)","$220,000","1",
"$210,000"," $210,000","Sold in 3 months 19 Days  on 2013-01-20","/condo-for-sale-montreal-sud-ouest-quebec-en-316118","2008",,"1","2","1","925 ft� (85.94 m�)",,"1",
"$254,900\n                    \n                            \n        \n            \n                \n                    Ville-Marie (downtown, old Mtl) - $254,900\n                                                                        - With parking\n                                                            \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 207-1210, rue St-Antoine est                                            \n                \n            \n\n                    Magnificent Condo for sale built in 2010, modern style with lots of extras and decorated in the style of the day and well fenestrated!In open... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  551 ft�, Garage, No backyard neighbours, Private parking","","Sold in 83 Days  on 2013-05-21","/condo-for-sale-montreal-sud-ouest-quebec-en-316182",,,,,,,,,
"$255,000"," $247,000","Sold in 12 Days  on 2012-03-23","/condo-for-sale-montreal-sud-ouest-quebec-en-316847","2008",,"1","2","3","938 ft� (87.14 m�)","$219,700","2",
"$249,000"," $241,500","Sold in 17 Days  on 2012-04-01","/condo-for-sale-montreal-sud-ouest-quebec-en-317523","2008",,"1","2","3","926 ft� (86.03 m�)",,"1",
"$515,000"," $510,000","Sold in 3 Days  on 2012-03-16","/condo-for-sale-montreal-sud-ouest-quebec-en-317588","1989",,"2","2","4","1,200 ft� (111.48 m�)","$469,333","2","1"
"$225,000"," $220,000","Sold in 56 Days  on 2012-05-07","/condo-for-sale-montreal-sud-ouest-quebec-en-317610","1988",,"1","2","2","1,000 ft� (92.90 m�)","$207,800","2","1"
"$254,900\n                    \n                            \n        \n            \n                \n                    Ville-Marie (downtown, old Mtl) - $254,900\n                                                                        - With parking\n                                                            \n                \n                    \n                                                 \n                        Condominium \n                         \n                        for sale\n                                                 - 207-1210, rue St-Antoine est                                            \n                \n            \n\n                    Magnificent Condo for sale built in 2010, modern style with lots of extras and decorated in the style of the day and well fenestrated!In open... More info\n        \n        1 bedroom(s), 1 bathroom(s), Living space  551 ft�, Garage, No backyard neighbours, Private parking"," $305,000","Sold in 50 Days  on 2012-11-28","/condo-for-sale-montreal-sud-ouest-quebec-en-317779",,,,,,,,,
"$249,000"," $240,000","Sold in 50 Days  on 2012-05-01","/condo-for-sale-montreal-sud-ouest-quebec-en-318303","1997",,"1","2","3","828 ft� (76.92 m�)",,"2",
"$509,000"," $506,000","Sold in 22 Days  on 2012-04-05","/condo-for-sale-montreal-sud-ouest-quebec-en-318861",,"30x85 ft (9.14x25.91 m)","1","4","3","1,600 ft� (148.64 m�)",,"1",
"","","Sold in 15 Days  on 2012-04-08","/condo-for-sale-montreal-sud-ouest-quebec-en-321411","2009",,"1","2","3","818 ft� (75.99 m�)",,"3","1"
"$280,000"," $275,000","Sold in 4 months 4 Days  on 2012-08-01","/condo-for-sale-montreal-sud-ouest-quebec-en-322408","2008",,"1","1","1","520 ft� (48.31 m�)","$195,000","9","1"
"","","Sold in 4 months 29 Days  on 2012-08-31","/condo-for-sale-montreal-sud-ouest-quebec-en-322545","2010",,"1","1","1","485 ft� (45.06 m�)",,"1",
"$222,000"," $217,000","Sold in 89 Days  on 2012-07-04","/condo-for-sale-montreal-sud-ouest-quebec-en-324018","2009",,"1","2","1","854 ft� (79.34 m�)",,,
"$219,000"," $210,000","Sold in 9 months 13 Days  on 2013-12-22","/condo-for-sale-montreal-sud-ouest-quebec-en-328425","2011",,"1","2","1","63.6 m� (684.58 ft�)",,"2",
"$249,000"," $245,000","Sold in 4 months 2 Days  on 2012-08-29","/condo-for-sale-montreal-sud-ouest-quebec-en-328817","1900",,"1","1","3","800 ft� (74.32 m�)",,"2",
"","","Sold in 89 Days  on 2012-08-01","/condo-for-sale-montreal-sud-ouest-quebec-en-328863","2004",,"1","1","6","800 ft� (74.32 m�)",,"2",
"$129,000"," $125,000","Sold in 24 Days  on 2006-04-18","/condo-for-sale-montreal-sud-ouest-quebec-en-33091","1985",,"1","1",,,"$74,700",,
"","","Sold in 9 months 28 Days  on 2013-03-12","/condo-for-sale-montreal-sud-ouest-quebec-en-331065","2011",,"1","1","8","54.5 m� (586.63 ft�)",,"7",
"","","Sold in 24 Days  on 2012-06-07","/condo-for-sale-montreal-sud-ouest-quebec-en-333525","2008",,"1","2","3","938 ft� (87.14 m�)",,"2",
"$279,000"," $269,000","Sold in 4 months 23 Days  on 2012-10-07","/condo-for-sale-montreal-sud-ouest-quebec-en-333770","1987",,"1","2",,"90.80 m� (977.36 ft�)","$201,633","2",
"$280,000"," $255,000","Sold in 3 months 13 Days  on 2013-04-16","/condo-for-sale-montreal-sud-ouest-quebec-en-333881","2006",,"1","1","6","800 ft� (74.32 m�)","$255,400","5",
"$399,000"," $399,000","Sold in 4 months 10 Days  on 2012-10-01","/condo-for-sale-montreal-sud-ouest-quebec-en-334715","2010","24x54 ft (7.32x16.46 m)","1","3","4","1,040 ft� (96.62 m�)",,"1",
"$222,500"," $242,000","Sold in 14 Days  on 2014-09-30","/condo-for-sale-montreal-sud-ouest-quebec-en-336004","2011",,"1","1","6","645 ft� (59.92 m�)","$188,900","6",
"$232,000"," $227,000","Sold in 4 months 17 Days  on 2012-10-22","/condo-for-sale-montreal-sud-ouest-quebec-en-337672","2004",,"1","2","1","904 ft� (83.98 m�)",,"1",
"$299,500"," $284,000","Sold in 41 Days  on 2012-07-16","/condo-for-sale-montreal-sud-ouest-quebec-en-338014","2009",,"1","2","1","1,110 ft� (103.12 m�)",,"2","1"
"$389,000"," $373,000","Sold in 6 months 24 Days  on 2013-01-18","/condo-for-sale-montreal-sud-ouest-quebec-en-342497","1912",,"1","4","1","1,550 ft� (144.00 m�)",,"1","1"
"$475,000"," $465,000","Sold in 56 Days  on 2012-08-28","/condo-for-sale-montreal-sud-ouest-quebec-en-343170","1990",,"1","2","1","1,289 ft� (119.75 m�)",,"3","1"
"","","Sold in 9 months 8 Days  on 2013-04-20","/condo-for-sale-montreal-sud-ouest-quebec-en-343371","2010",,"1","1","3","900 ft� (83.61 m�)",,"3",
"$339,000"," $320,000","Sold in 41 Days  on 2012-08-02","/condo-for-sale-montreal-sud-ouest-quebec-en-343517",,"92.53 m� (995.98 ft�)","1","2","1","1,100 ft� (102.19 m�)",,"2","1"
"","","Sold in 31 Days  on 2012-08-13","/condo-for-sale-montreal-sud-ouest-quebec-en-344785","2009",,"2","4","2","1,790 ft� (166.30 m�)",,"3","1"
"$379,000"," $367,000","Sold in 10 months 12 Days  on 2013-06-01","/condo-for-sale-montreal-sud-ouest-quebec-en-349487","2011",,"2","2","1","957 ft� (88.91 m�)",,"1",
"","","Sold in 6 months 7 Days  on 2013-07-23","/condo-for-sale-montreal-sud-ouest-quebec-en-349715","2011",,"1","2","1","870 ft� (80.83 m�)",,"2",
"$169,000"," $165,000","Sold in 3 months 24 Days  on 2012-11-21","/condo-for-sale-montreal-sud-ouest-quebec-en-350471","2009",,"1","1",,"486 ft� (45.15 m�)",,"2",
"$240,000"," $230,000","Sold in 4 months 27 Days  on 2013-04-05","/condo-for-sale-montreal-sud-ouest-quebec-en-351876",,,"1","2","1","897 ft� (83.33 m�)",,,
"$259,000"," $255,000","Sold in 65 Days  on 2012-10-12","/condo-for-sale-montreal-sud-ouest-quebec-en-353769","2011",,"1","1","6","540 ft� (50.17 m�)",,"6","1"
"$350,000"," $342,500","Sold in 6 months 3 Days  on 2013-02-10","/condo-for-sale-montreal-sud-ouest-quebec-en-353964","1999",,"2",,"2","1,260 ft� (117.06 m�)",,"3","2"
"$242,000"," $239,000","Sold in 9 months 30 Days  on 2013-06-21","/condo-for-sale-montreal-sud-ouest-quebec-en-355769","2010",,"1","1","1","655 ft� (60.85 m�)",,"2",
"$264,500"," $245,000","Sold in 38 Days  on 2012-10-20","/condo-for-sale-montreal-sud-ouest-quebec-en-361483","2009",,"1","2","3","813 ft� (75.53 m�)",,"2","1"
"$235,000"," $230,000","Sold in 74 Days  on 2012-12-03","/condo-for-sale-montreal-sud-ouest-quebec-en-363054","2006",,"1","2","1","980 ft� (91.04 m�)",,"3",
"","","Sold in 43 Days  on 2012-11-02","/condo-for-sale-montreal-sud-ouest-quebec-en-363738","2011",,"2","2","1","1,186 ft� (110.18 m�)",,"2","1"
"$379,000"," $371,000","Sold in 3 months 3 Days  on 2012-12-29","/condo-for-sale-montreal-sud-ouest-quebec-en-365139",,"28x36 ft (8.53x10.97 m)","2","2","1","880 ft� (81.75 m�)",,"1","2"
"$285,000"," $285,000","Sold in 9 months 25 Days  on 2013-08-11","/condo-for-sale-montreal-sud-ouest-quebec-en-369352",,,"1","1","1","919 ft� (85.38 m�)",,"2",
"$220,000"," $207,500","Sold in 55 Days  on 2012-12-16","/condo-for-sale-montreal-sud-ouest-quebec-en-371160","2009",,"1","2","1",,,"1",
"$265,900"," $253,000","Sold in 28 Days  on 2012-11-14","/condo-for-sale-montreal-sud-ouest-quebec-en-371322","1997",,"1","2","3","850 ft� (78.97 m�)",,"3","1"
"","","Sold in 12 Days  on 2013-04-24","/condo-for-sale-montreal-sud-ouest-quebec-en-371518","1897",,"1","3","2","1,600 ft� (148.64 m�)",,,
"$219,000"," $207,000","Sold in 6 Days  on 2012-11-16","/condo-for-sale-montreal-sud-ouest-quebec-en-372453","2011",,"1","1","1","575 ft� (53.42 m�)",,"2",
" Price available upon request"," $399,000","Sold in 4 months 27 Days  on 2013-03-19","/condo-for-sale-montreal-sud-ouest-quebec-en-373310","2010","34.23x6.39 m (112.30x20.96 ft)","1","2","2","1,093 ft� (101.54 m�)","$304,800","1",
"$366,800"," $354,000","Sold in 22 Days  on 2013-04-15","/condo-for-sale-montreal-sud-ouest-quebec-en-374594","2011",,"1","2","6","843 ft� (78.32 m�)","$299,800","2","1"
"$189,000"," $183,000","Sold in 5 months 28 Days  on 2013-05-28","/condo-for-sale-montreal-sud-ouest-quebec-en-381394","2009",,"1","1","1","684 ft� (63.55 m�)",,"1",
"$235,000"," $231,000","Sold in 11 Days  on 2012-12-21","/condo-for-sale-montreal-sud-ouest-quebec-en-383400","1900",,"1","1","4","700 ft� (65.03 m�)","$195,400","4","1"
"$229,000"," $225,000","Sold in 35 Days  on 2013-01-15","/condo-for-sale-montreal-sud-ouest-quebec-en-384108","2008",,"1","2","1","897 ft� (83.33 m�)",,"1","1"
"$349,000"," $355,000","Sold in 20 Days  on 2013-03-01","/condo-for-sale-montreal-sud-ouest-quebec-en-386548","1900","18x7 m (59.06x22.97 ft)","1","2","3","1,080 ft� (100.34 m�)","$584,000","1",
"$254,000"," $245,000","Sold in 35 Days  on 2013-02-27","/condo-for-sale-montreal-sud-ouest-quebec-en-388201","2004",,"1","1","1","647 ft� (60.11 m�)",,"2",
"$210,000"," $210,000","Sold in 12 Days  on 2013-01-26","/condo-for-sale-montreal-sud-ouest-quebec-en-390575","2006",,"1","2","1","805 ft� (74.79 m�)",,"1","1"
"$245,000"," $231,000","Sold in 72 Days  on 2013-04-24","/condo-for-sale-montreal-sud-ouest-quebec-en-394454","2011",,"1","1","1","53.4 m� (574.79 ft�)","$194,400","1",
"$205,000"," $205,000","Sold in 15 Days  on 2013-02-20","/condo-for-sale-montreal-sud-ouest-quebec-en-396442","2011",,"1","1","3","572 ft� (53.14 m�)",,"2","7"
"$249,999"," $244,000","Sold in 3 months 7 Days  on 2013-06-29","/condo-for-sale-montreal-sud-ouest-quebec-en-396527","2011",,"1","1","2","795 ft� (73.86 m�)",,"3",
"","","Sold in 23 Days  on 2013-03-05","/condo-for-sale-montreal-sud-ouest-quebec-en-397285","1987",,"1","2","1","1,080 ft� (100.34 m�)",,"1","1"
"$229,000"," $227,000","Sold in 47 Days  on 2013-05-25","/condo-for-sale-montreal-sud-ouest-quebec-en-398500","2011",,"1","1","6","540 ft� (50.17 m�)",,"2",
"","","Sold in 7 months 26 Days  on 2014-03-16","/condo-for-sale-montreal-sud-ouest-quebec-en-399485",,"4,034 ft� (374.77 m�)","1","2","3","762 ft� (70.79 m�)",,"2","1"
"$258,000"," $228,000","Sold in 4 months 21 Days  on 2013-11-15","/condo-for-sale-montreal-sud-ouest-quebec-en-400942","1986",,"1","1","3","801 ft� (74.42 m�)","$178,700","1","1"
"$320,000"," $310,500","Sold in 4 months 28 Days  on 2013-07-31","/condo-for-sale-montreal-sud-ouest-quebec-en-404344","2010",,"1","1","2","850 ft� (78.97 m�)","$278,000","3",
"$259,000"," $250,000","Sold in 49 Days  on 2013-05-01","/condo-for-sale-montreal-sud-ouest-quebec-en-406342","2006",,"1","2","1","968 ft� (89.93 m�)",,"1",
"","","Sold in 46 Days  on 2013-05-24","/condo-for-sale-montreal-sud-ouest-quebec-en-410199","1991",,"1","3","2","92.20 m� (992.43 ft�)",,"2",
"$369,000"," $350,000","Sold in 47 Days  on 2013-05-13","/condo-for-sale-montreal-sud-ouest-quebec-en-411905",,,"1","2",,,"$315,000","1",
"$375,000"," $325,000","Sold in 50 Days  on 2013-06-13","/condo-for-sale-montreal-sud-ouest-quebec-en-419122","2004",,"1","2","4","990 ft� (91.97 m�)",,"2",
"$219,000"," $206,000","Sold in 34 Days  on 2013-06-06","/condo-for-sale-montreal-sud-ouest-quebec-en-423484","2008",,"1","1","3","547 ft� (50.82 m�)","$152,700","3",
"$279,000"," $276,000","Sold in 10 months 18 Days  on 2014-03-22","/condo-for-sale-montreal-sud-ouest-quebec-en-423800","2012",,"1","2","3","885 ft� (82.22 m�)","$279,900","3",
"$355,000"," $360,000","Sold in 61 Days  on 2013-07-07","/condo-for-sale-montreal-sud-ouest-quebec-en-424161","1910",,"2","4","2","1,350 ft� (125.42 m�)","$245,100","2",
"","","Sold in 71 Days  on 2014-06-13","/condo-for-sale-montreal-sud-ouest-quebec-en-425267",,,"1","1","1","585 ft� (54.35 m�)",,"1",
"","","Sold in 22 Days  on 2013-06-14","/condo-for-sale-montreal-sud-ouest-quebec-en-428180","1985","1,016 ft� (94.39 m�)","1","3","2","1,062 ft� (98.66 m�)",,"1","1"
"","","Sold in 5 months 25 Days  on 2013-11-22","/condo-for-sale-montreal-sud-ouest-quebec-en-428902","1900","30x85.7 ft (9.14x26.12 m)","1","3","1","1,200 ft� (111.48 m�)",,"2",
"$232,000"," $229,000","Sold in 6 months 25 Days  on 2007-04-09","/condo-for-sale-montreal-sud-ouest-quebec-en-43106","1989",,"1","2",,,"$228,900",,
"$369,000"," $330,000","Sold in 64 Days  on 2007-03-17","/condo-for-sale-montreal-sud-ouest-quebec-en-43330","2001",,"2","2","1","1,225 ft� (113.81 m�)","$322,900","3",
"$389,000"," $375,000","Sold in 55 Days  on 2013-08-08","/condo-for-sale-montreal-sud-ouest-quebec-en-435035","2007",,"1","2","6","1,030 ft� (95.69 m�)","$312,000","5","1"
